DAY 3,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+,,
__f_d3_RP906A_002.fcs,229446,228734,19488,210732,210311,26184,445,438,52,396,285,28,1584,0,0,2447,28,3,537,42,17,168745,168070,71329,117102,,
__f_d3_RP906B_003.fcs,65774,65359,6549,37536,37363,2798,1626,1604,195,165,104,5,901,2,2,1264,217,35,410,148,64,205839,204851,97120,106768,,
__f_d3_RP907A_004.fcs,603301,601551,17385,483476,482122,46332,681,653,164,307,243,8,1289,0,0,2476,45,37,376,51,3,13911,12599,3807,67736,,
__f_d3_RP907B_005.fcs,40568,40272,5477,41788,41170,12882,67,52,30,95,73,7,945,0,0,1759,7,7,1737,7,7,11637,10794,6801,25212,,
__f_d3_RP908A_006.fcs,89387,88967,9715,110919,110575,26372,12963,12921,2871,188,71,9,1756,2,0,1857,44,14,538,28,13,116130,115444,74058,113052,,
__f_d3_RP908B_007.fcs,45814,45374,4787,32340,32168,3925,569,552,213,118,95,9,336,1,1,788,87,41,174,29,15,35075,34391,21567,30558,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
