DAY 1.5,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+,,
"__c_d1-5_RP934A_001,fcs",2083709,2081625,169028,576958,576381,69166,285339,285339,208868,1433,598,120,9771,7866,3815,417569,415481,117581,182401,155406,86561,28779778,28779778,12490424,13145562,,
"__c_d1-5_RP934B_002,fcs",1873194,1869447,85995,535566,535030,29641,34832,34762,14948,2162,657,31,4510,63,0,19831,16856,6624,38698,5495,1967,13438128,13438128,2499492,2638698,,
"__c_d1-5_RP938A_003,fcs",422300,421456,52682,184163,183795,40251,1341,1305,875,710,186,25,2440,0,0,3552,202,142,3450,242,75,969296,968327,271131,365182,,
"__c_d1-5_RP938B_004,fcs",52582,52424,7654,34830,34690,9470,511,505,449,125,75,9,330,0,0,1026,12,5,338,41,8,125163,124788,48792,66387,,
"__c_d1-5_RP939A_007,fcs",139277,138998,7714,43126,43039,3650,1959,1954,1158,198,43,0,472,0,0,501,324,155,2141,293,79,1078106,1078106,343916,356672,,
"__c_d1-5_RP939B_008,fcs",248159,247911,16213,89913,89733,11127,3208,3160,1987,649,175,9,1166,0,0,760,171,83,1916,395,48,1952494,1952494,575986,605454,,
"__c_d1-5_RP942A_006,fcs",1332441,1329776,125930,577276,576121,80657,7157,7079,3893,861,267,21,4736,0,0,6504,911,553,5640,1652,483,4217240,4213023,1322889,1534425,,
"__c_d1-5_RP942B_005,fcs",936726,932042,252583,274437,272241,60438,41950,41824,40151,1099,540,60,3819,1489,1265,411988,362962,165873,145816,45495,39398,4763505,4758741,3473881,4033649,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
