DAY 4,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+
__d_d2_RP925A_001.fcs,1176353,1171648,119508,579354,578195,33940,7058,7037,241,1427,281,8,7120,8,0,9483,1897,209,6465,1080,256,2883030,2880147,740198,894359
__d_d2_RP925B_002.fcs,115524,114485,11254,79972,79092,6565,422,413,62,375,268,34,651,2,2,2066,7,4,342,38,11,37886,37128,17339,35270
__d_d2_RP926A_003.fcs,189527,188580,18820,199831,199231,21716,664,653,92,215,98,9,1411,0,0,2574,60,17,770,14,5,107008,106259,42929,83588
__d_d2_RP926B_004.fcs,222501,220721,31563,148521,147481,13789,1156,1138,69,383,248,7,2294,0,0,3442,37,9,860,73,19,185111,183815,83084,128540
__d_d2_RP927A_005.fcs,202554,201542,22371,133286,132619,9708,821,805,36,424,208,16,2589,0,0,3691,56,4,809,60,27,224993,223643,94377,126540
__d_d2_RP927B_006.fcs,162892,162078,16208,91444,90804,5566,313,302,14,344,162,10,1532,0,0,2412,71,7,1342,34,10,181882,180791,58757,80571
__d_d2_RP928A_007.fcs,600772,590558,41930,440339,439459,32080,1868,1848,333,1117,557,43,1906,0,0,3593,167,32,105979,94,34,150579,149676,69749,144201
__d_d2_RP928B_008.fcs,223751,222409,26911,138286,137733,12823,866,855,110,515,260,30,1931,0,0,3822,41,11,724,96,34,221811,220480,92161,132080
__d_d2_RP929A_009.fcs,39928,39648,4123,26546,26122,2638,923,909,103,176,97,5,902,0,0,1378,85,20,626,17,9,36779,36411,16167,23065
__d_d2_RP929B_010.fcs,492734,490271,59323,182649,182283,9114,956,956,31,454,153,12,2840,0,0,6057,317,17,1697,219,47,549123,546927,150405,218948
