DAY 0.5,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+,,
"t_F1_not_injected_001,fcs",1616706,1616706,857,269176,269176,86,143812,143812,2574,2411,1980,0,26917,26836,684,351943,341384,3653,229414,183761,5035,31978800,31978800,5756,18646,,
"t_a_d0_5_RP965A_002,fcs",741089,738866,8275,473260,472787,14562,4608,4553,2308,549,306,8,2519,6,0,3802,85,47,3606,87,14,622054,621432,76436,101650,,
"t_a_d0_5_RP965B_003,fcs",72352,71918,4229,34026,33958,5977,923,916,554,186,90,7,881,2,0,2003,117,95,1644,105,27,339864,339524,17316,28204,,
"t_a_d0_5_RP966A_004,fcs",262824,259670,32459,222193,221749,77390,3356,3319,2881,785,418,36,3181,3,0,6557,317,304,2986,105,65,540312,539231,99758,212893,,
"t_a_d0_5_RP966B_005,fcs",192117,191157,6920,142620,142478,10942,6428,6370,5822,295,163,9,1146,2,0,2620,194,176,2702,44,13,433286,432419,124104,147987,,
"t_a_d0_5_RP967A_006,fcs",104029,102884,10597,64337,64015,16836,24444,24346,19964,859,180,14,2460,7,0,2899,0,0,8578,49,7,3786968,3783181,930662,978080,,
"t_a_d0_5_RP967B_007,fcs",114952,113917,11130,70114,69764,20092,420,415,310,295,163,17,668,2,0,1508,35,33,1751,56,6,318657,318020,32120,63708,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
